State of company,Area - km^2,Population - May 2023,GDP - millions 2022,Exports - 2025 - US$ FOB,Imports - 2025 - US$ FOB,Exports - 2024 - US$ FOB,Imports - 2024 - US$ FOB,Exports - 2023 - US$ FOB,Imports - 2023 - US$ FOB,Exports - 2022 - US$ FOB,Imports - 2022 - US$ FOB,Exports - 2021 - US$ FOB,Imports - 2021 - US$ FOB,Exports - 2020 - US$ FOB,Imports - 2020 - US$ FOB,Exports - 2019 - US$ FOB,Imports - 2019 - US$ FOB,Exports - 2018 - US$ FOB,Imports - 2018 - US$ FOB,Exports - 2017 - US$ FOB,Imports - 2017 - US$ FOB,Exports - 2016 - US$ FOB,Imports - 2016 - US$ FOB,Exports - 2015 - US$ FOB,Imports - 2015 - US$ FOB,Exports - 2014 - US$ FOB,Imports - 2014 - US$ FOB,Exports - 2013 - US$ FOB,Imports - 2013 - US$ FOB,Exports - 2012 - US$ FOB,Imports - 2012 - US$ FOB,Exports - 2011 - US$ FOB,Imports - 2011 - US$ FOB,Exports - 2010 - US$ FOB,Imports - 2010 - US$ FOB,Exports - 2009 - US$ FOB,Imports - 2009 - US$ FOB,Exports - 2008 - US$ FOB,Imports - 2008 - US$ FOB,Exports - 2007 - US$ FOB,Imports - 2007 - US$ FOB,Exports - 2006 - US$ FOB,Imports - 2006 - US$ FOB,Exports - 2005 - US$ FOB,Imports - 2005 - US$ FOB,Exports - 2004 - US$ FOB,Imports - 2004 - US$ FOB,Exports - 2003 - US$ FOB,Imports - 2003 - US$ FOB,Exports - 2002 - US$ FOB,Imports - 2002 - US$ FOB,Exports - 2001 - US$ FOB,Imports - 2001 - US$ FOB,Exports - 2000 - US$ FOB,Imports - 2000 - US$ FOB,Exports - 1999 - US$ FOB,Imports - 1999 - US$ FOB,Exports - 1998 - US$ FOB,Imports - 1998 - US$ FOB,Exports - 1997 - US$ FOB,Imports - 1997 - US$ FOB
Piauí,"97,135","3,341,352","26,000",168561523,152245352,1038010846,277782000,1336192265,533966591,1428651144,247973532,686341325,521360381,483071009,299622805,423915532,288123725,289637141,136757835,322515736,348120954,137155074,92692810,320535652,111374463,163282691,246509417,68461651,197641372,95559995,170569360,57013761,157514371,75879928,189913166,114898354,68418967,86581105,71686130,51791565,43822797,43851240,26622380,61985675,14929580,67811223,16586485,41114874,10295211,36297747,12655695,33889239,15161363,52661721,15839938,44812502,11401088,62513093,23622271,65008504,33638731
Rio de Janeiro,"16,900","16,055,174","693,000",16547879128,9214332566,52502670843,27934201684,49670327456,25847607617,47927011268,25352731146,37243334086,22393146905,23647291410,18459940102,29783837249,20466485139,31288915966,20015372625,22243227737,13524723383,16315877161,12537581020,16866041538,17192696691,23079780963,21678174753,22955292533,21624156036,30208986960,20930692946,30535215005,21291261535,21898537937,19017371155,15838414528,13758874817,18672435084,17928767687,14670498321,11918071078,11934164674,9359054250,8961041653,8547647062,5689991581,7488035923,4362909804,5659179382,4202883677,6093173137,3278147507,6133911785,2701668840,5035432759,2490608429,4441781666,3185022540,4834468312,3733118388,5234235094
Rio Grande do Norte,"20,390","3,619,619","76,000",373033918,162799161,1128792346,595376631,688896930,687859874,376144408,435441700,307571058,333736088,280267613,180388686,369331592,168297608,261920237,166996355,294299967,176997730,271002906,184563670,277132629,247766811,235078096,314245625,234836220,266269859,236903545,220968677,260893074,243188190,265616394,317368086,250424868,149350860,333356104,207506242,357570502,152265506,375595684,142161887,427310437,112336151,616249397,139884570,311632630,169214119,214351904,116882689,176026396,86185711,146943704,66784838,101314503,68967919,81067829,82244381,72398258,121255968
Rio Grande do Sul,"108,780","10,882,965","444,000",5774025370,4022589346,20579130866,12980704170,21549608025,13762247118,20986646438,15978686868,19610446709,11743581531,13250231890,7604563341,16532220817,10335859627,17094924280,11306164925,16285111541,9910541458,14733939011,8289151845,15905971217,9966931286,17810754042,14880897130,20037891196,16701530778,16791120572,14858601813,17911819504,13374287074,13533676120,10786142522,12815258150,7255351298,14653666566,10752220944,12363904907,7727078139,10146650048,5863508228,9626651078,4807099236,9124901831,4165510801,7494300831,3477432824,6057019552,2833776184,5927110570,3321442878,5461261314,4048409948,4641434905,3232024930,5068259823,4242878859,5730933755,3621609530
Rondônia,"91,734","1,837,905","19,000",1127112703,576403745,2461117389,1391826471,2425288578,1059907127,2166914787,719313545,1565839662,594244232,1347184693,567099038,1173912317,975416186,1025488694,889782772,1116842734,760666100,824427842,544132050,825738736,645529037,1005707342,642899432,911506828,616999885,812007916,678120466,595939288,410431071,478025789,244452930,390104520,169513038,479791098,161229787,362888373,78697307,299397509,62168830,229021620,27649268,153889222,22785289,145277459,16247826,105687978,93018912,72556850,38361950,67777627,45022319,65391744,7158232,35193877,19413598,28111483,17926244
Roraima,"86,603","708,352",8000,57914938,19296063,360994639,32345784,412690661,31135969,517402700,39819634,366331289,60210812,179959363,32421412,82849357,9282731,18970436,10536423,50361023,8486383,25720065,7103027,3394420,9638939,19049414,10334073,7377624,8086631,11774277,5906471,10320689,7174817,10420234,7656989,11820824,10167940,11984794,2450122,9710571,1262552,11389128,1217930,7705815,865354,5673926,2551074,3221603,2306729,5688549,2191647,4828922,3450059,4004208,3695351,2312329,2115195,1876961,10313591,2694117,5985639
Santa Catarina,"36,964","7,218,704","293,000",4946064806,11399535992,14788661976,33771587792,14785071500,28771535393,14373090334,28989937154,12801166514,24917515284,10005131914,16091194139,10271978906,16903030328,13913345975,15431113139,11011431466,12523863982,9557819495,10300472535,9033867079,12591717203,11142325735,16019608524,11363227741,14722583972,11134790465,14474777186,10738746137,14637385970,9262271925,11642933420,7725521743,7156000420,9910361678,7964717817,8568341104,4991935890,6898368219,3390690986,6368631754,2140802559,5514234614,1493799867,4304318761,990033502,3560910298,943467433,3212394805,895829775,2788836405,1013931076,2730923414,939931103,2667652362,1350395115,2787827069,1489815204
São Paulo,"95,839","44,411,238","1,964,000",23679913286,28509520216,76196627038,75882406908,75929517674,71774541327,74197814828,81540627462,57419343322,67214392139,46702064938,54144758794,51515633721,64015176961,64453128156,65050281974,58004969787,58233190725,52118736189,51791228636,50936741335,63694015783,57145859170,84783140096,62456934694,89789353375,64965186509,77974768223,66301046701,82679454834,57218218091,68362796272,46970903328,50798130278,64085243907,66974111439,56811833743,48669663989,50935989218,37312052578,42313096416,30756129698,35004152856,27217823998,27094877832,20438783376,22991858820,19926825433,23521196395,24708581624,22096349356,25775456578,18551366971,23408020243,18906713727,27784204901,18762115800,28489007665
Sergipe,"8,461","2,403,563","38,000",143761781,148328671,449069326,398800975,312512990,241259887,127475436,350001668,100917283,172217084,45728587,150416864,54083632,706154183,73531782,192343034,90223006,137990289,104817594,145869436,92313236,214416285,74802597,230058139,71599032,287351953,135607995,262261525,131160172,294094435,70135891,170144516,53007927,143571042,105549778,192100326,141885846,134686069,87835988,87935604,65996243,89076229,47690987,98016232,35617933,95064887,35802943,99292401,21096001,100784322,30272619,93743326,19989526,98166473,29204495,109253572,33087832,126539998
Tocantins,"107,229","1,692,452","21,000",959533749,57573123,2339277356,125879257,2978157764,271882941,2898842270,881255367,1804989376,614075890,1331206240,253810849,1068523868,175263859,743748297,229574722,985454232,215912268,697555050,116900618,926551838,142897998,962568571,237245462,700121660,184887580,651190759,125998968,507114836,159853018,342441606,237860416,267095121,126761431,297648222,142823936,128697548,73899895,158402302,24718643,145685867,13375592,115621600,32819641,49494557,19650262,7498252,26765106,3847619,8120708,4405632,13689677,5517886,23182601,13946671,39404920,11999799,32456374
