Cluster,Area - km^2,Population - May 2023,GDP - millions 2022,Exports - 2025 - US$ FOB,Imports - 2025 - US$ FOB,Exports - 2024 - US$ FOB,Imports - 2024 - US$ FOB,Exports - 2023 - US$ FOB,Imports - 2023 - US$ FOB,Exports - 2022 - US$ FOB,Imports - 2022 - US$ FOB,Exports - 2021 - US$ FOB,Imports - 2021 - US$ FOB,Exports - 2020 - US$ FOB,Imports - 2020 - US$ FOB,Exports - 2019 - US$ FOB,Imports - 2019 - US$ FOB,Exports - 2018 - US$ FOB,Imports - 2018 - US$ FOB,Exports - 2017 - US$ FOB,Imports - 2017 - US$ FOB,Exports - 2016 - US$ FOB,Imports - 2016 - US$ FOB,Exports - 2015 - US$ FOB,Imports - 2015 - US$ FOB,Exports - 2014 - US$ FOB,Imports - 2014 - US$ FOB,Exports - 2013 - US$ FOB,Imports - 2013 - US$ FOB,Exports - 2012 - US$ FOB,Imports - 2012 - US$ FOB,Exports - 2011 - US$ FOB,Imports - 2011 - US$ FOB,Exports - 2010 - US$ FOB,Imports - 2010 - US$ FOB,Exports - 2009 - US$ FOB,Imports - 2009 - US$ FOB,Exports - 2008 - US$ FOB,Imports - 2008 - US$ FOB,Exports - 2007 - US$ FOB,Imports - 2007 - US$ FOB,Exports - 2006 - US$ FOB,Imports - 2006 - US$ FOB,Exports - 2005 - US$ FOB,Imports - 2005 - US$ FOB,Exports - 2004 - US$ FOB,Imports - 2004 - US$ FOB,Exports - 2003 - US$ FOB,Imports - 2003 - US$ FOB,Exports - 2002 - US$ FOB,Imports - 2002 - US$ FOB,Exports - 2001 - US$ FOB,Imports - 2001 - US$ FOB,Exports - 2000 - US$ FOB,Imports - 2000 - US$ FOB,Exports - 1999 - US$ FOB,Imports - 1999 - US$ FOB,Exports - 1998 - US$ FOB,Imports - 1998 - US$ FOB,Exports - 1997 - US$ FOB,Imports - 1997 - US$ FOB
0,0.06,-0.36,-0.36,-0.41,-0.38,-0.4,-0.39,-0.4,-0.39,-0.4,-0.39,-0.4,-0.38,-0.39,-0.36,-0.41,-0.36,-0.4,-0.36,-0.4,-0.34,-0.4,-0.34,-0.4,-0.34,-0.41,-0.34,-0.41,-0.34,-0.41,-0.35,-0.41,-0.34,-0.4,-0.34,-0.4,-0.33,-0.38,-0.33,-0.37,-0.32,-0.36,-0.31,-0.37,-0.31,-0.37,-0.31,-0.36,-0.31,-0.36,-0.31,-0.35,-0.31,-0.34,-0.3,-0.36,-0.3,-0.37,-0.3,-0.38,-0.29
1,-0.2,0.66,0.62,1.01,0.71,0.99,0.8,0.98,0.79,0.96,0.74,1.02,0.72,0.92,0.62,0.97,0.6,0.88,0.57,0.88,0.48,0.83,0.47,0.86,0.48,0.93,0.48,0.91,0.47,0.92,0.54,0.94,0.5,0.85,0.48,0.8,0.44,0.72,0.46,0.66,0.39,0.58,0.35,0.62,0.35,0.62,0.33,0.61,0.36,0.6,0.36,0.53,0.34,0.51,0.3,0.59,0.28,0.66,0.29,0.73,0.24
